codPais,codCont,codSubCont,pais
1,3,0,Albania
2,3,0,Alemania
3,3,0,Andorra
4,3,0,Armenia
5,3,0,Austria
6,3,0,Azerbaiyan
7,3,0,Belgica
8,3,0,Bielorrusia
9,3,0,Bosnia y Herzegovina
10,3,0,Bulgaria
11,3,0,República Checa
12,3,0,Croacia
13,3,0,Dinamarca
14,3,0,Eslovaquia
15,3,0,Eslovenia
16,3,0,España
17,3,0,Estonia
18,3,0,Finlandia
19,3,0,Francia
20,3,0,Georgia
21,3,0,Grecia
22,3,0,Hungría
23,3,0,Irlanda
24,3,0,Islandia
25,3,0,Italia
26,3,0,Letonia
27,3,0,Liechtenstein
28,3,0,Lituania
29,3,0,Luxemburgo
30,3,0,Republica de Macedonia
31,3,0,Malta
32,3,0,Moldavia
33,3,0,Mónaco
34,3,0,Montenegro
35,3,0,Noruega
36,3,0,Países Bajos
37,3,0,Polonia
38,3,0,Portugal
39,3,0,Reino Unido
40,3,0,Rumania
41,3,0,Rusia
42,3,0,San Marino
43,3,0,Serbia
44,3,0,Suecia
45,3,0,Suiza
46,3,0,Ucrania
47,3,0,Vaticano
48,1,1,Argentina
49,1,3,Bahamas
50,1,1,Bolivia
51,1,1,Brasil
52,1,2,Canadá
53,1,1,Chile
54,1,1,Colombia
55,1,3,Costa Rica
56,1,3,Cuba
57,1,3,República Dominicana
58,1,1,Ecuador
59,1,3,El Salvador
60,1,2,Estados Unidos
61,1,3,Guatemala
62,1,3,Guyana
63,1,3,Haití
64,1,3,Honduras
65,1,3,Jamaica
66,1,2,México
67,1,3,Nicaragua
68,1,3,Panamá
69,1,1,Paraguay
70,1,1,Perú
71,1,3,Puerto rico
72,1,1,Uruguay
73,1,1,Venezuela
74,4,0,Afganistán
75,4,0,Arabia Saudita
76,4,0,Baréin
77,4,0,Bangladés
78,4,0,Camboya
79,4,0,Catar
80,4,0,China
81,4,0,Chipre
82,4,0,Corea del Norte
83,4,0,Corea del Sur
84,4,0,Emiratos Arabes Unidos
85,4,0,Filipinas
86,4,0,India
87,4,0,Indonesia
88,4,0,Irán
89,4,0,Iraq
90,4,0,Israel
91,4,0,Japón
92,4,0,Jordania
93,4,0,Kazajistán
94,4,0,Líbano
95,4,0,Malasia
96,4,0,Mongolia
97,4,0,Nepal
98,4,0,Omán
99,4,0,Pakistán
100,4,0,Palestina
101,4,0,Singapur
102,4,0,Siria
103,4,0,Tailandia
104,4,0,taiwan
105,4,0,Turquía
106,4,0,Vietnam
107,4,0,Yemen
108,2,0,Angola
109,2,0,Argelia
110,2,0,Burkina Faso
111,2,0,Cabo Verde
112,2,0,Camerún
113,2,0,República Centroafricana
114,2,0,Chad
115,2,0,Costa de Marfil
116,2,0,Egipto
117,2,0,Eritrea
118,2,0,Gabón
119,2,0,Gambia
120,2,0,Ghana
121,2,0,LIBERIA
122,2,0,Libia
123,2,0,Madagascar
124,2,0,Malaui
125,2,0,Mali
126,2,0,Marruecos
127,2,0,Níger
128,2,0,Nigeria
129,2,0,república saharaui
130,2,0,Ruanda
131,2,0,Santo Tomé y Príncipe
132,2,0,Senegal
133,2,0,Seychelles
134,2,0,Sierra Leona
135,2,0,Somalia
136,2,0,Sudáfrica
137,2,0,Sudán del norte
138,2,0,Sudán del sur
139,2,0,Tanzania
140,2,0,Togo
141,2,0,Túnez
142,2,0,Zambia
143,2,0,Zimbabue
144,5,0,Australia
145,5,0,Fiyi
146,5,0,Kiribati
147,5,0,Islas Marshall
148,5,0,Micronesia
149,5,0,Nauru
150,5,0,Nueva Zelanda
151,5,0,Palaos
152,5,0,Papúa Nueva Guinea
153,5,0,Islas Salomón
154,5,0,Samoa
155,5,0,Tonga
156,5,0,Tuvalu
157,5,0,Vanuatu
